path,hash
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_133.png,23298d1996f4d75084997ebb93eb9ae8
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_136.png,fe210a1b7b31093c4ccc9ec72b408574
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_103.png,b59faf2a795f1f63ab119786a3713374
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_110.png,81057607015576ca8782f65fd921aab4
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_10.png,dfa1ff7f8472a70012cc198e7a0195ca
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_1.png,ca99ab52ef44369862583beac552457e
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_131.png,2225dbbf074c19fe2652430198609c27
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_11.png,a02be63223d4c5453cff02fdc61544e7
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_105.png,146b88099077e26588ccbae10351ce98
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_120.png,fad6f68099aa023c489710e3a56d455f
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_111.png,5fea97782e612525f491973f632c5f0c
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_129.png,6cacfab8662b0690c8d0ef2e3d245e12
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_117.png,922f8b8a0df63541f2ac471fc29788cb
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_102.png,abc36e4128674d591460833bc04a2900
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_109.png,35640c88bf2d9bb1f68e07bf2cc42c27
/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_100.png,1414e63e16d3d5287097878402760617
