filename,path,label,extension,file_size_kb
Image_133.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_133.png,aerosol_cans,.png,24.4
Image_136.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_136.png,aerosol_cans,.png,52.9
Image_103.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_103.png,aerosol_cans,.png,54.71
Image_110.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_110.png,aerosol_cans,.png,59.0
Image_10.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_10.png,aerosol_cans,.png,77.43
Image_132.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_132.png,aerosol_cans,.png,53.02
Image_128.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_128.png,aerosol_cans,.png,38.39
Image_1.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_1.png,aerosol_cans,.png,50.97
Image_127.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_127.png,aerosol_cans,.png,70.29
Image_114.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_114.png,aerosol_cans,.png,43.98
Image_108.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_108.png,aerosol_cans,.png,82.0
Image_131.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_131.png,aerosol_cans,.png,76.5
Image_112.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_112.png,aerosol_cans,.png,63.05
Image_116.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_116.png,aerosol_cans,.png,40.64
Image_104.png,/content/drive/MyDrive/Data Scientist/[5] PROJECT DS/[3] Semua data yang sudah dikelompokkan/aerosol_cans/default/Image_104.png,aerosol_cans,.png,25.9
